Date,Aluminium (USD/dmt),Batubara (USD/ton),Batubara (hba 1) (USD/ton),Batubara (hba 2) (USD/ton),Batubara (hba 3) (USD/ton),Bijih Besi Laterit/Hematit/Magnetit (USD/dmt),Bijih Krom (USD/dmt),Emas sebagai mineral ikutan (USD/Troy Ounce),Kobalt (USD/dmt),Konsentrat Titanium (USD/dmt),Mangan (USD/dmt),Nikel (USD/dmt),Perak sebagai mineral ikutan (USD/Troy Ounce),Seng (USD/dmt),Tembaga (USD/dmt),Timbal (USD/dmt)
2017-01-01,,86.23,,,,,,,,,,,,,,
2017-02-01,,83.32,,,,,,,,,,,,,,
2017-03-01,,81.9,,,,,,,,,,,,,,
2017-04-01,,82.51,,,,,,,,,,,,,,
2017-05-01,,83.81,,,,,,,,,,,,,,
2017-06-01,,75.46,,,,,,,,,,,,,,
2017-07-01,,78.95,,,,,,,,,,,,,,
2017-08-01,,83.97,,,,,,,,,,,,,,
2017-09-01,,92.03,,,,,,,,,,,,,,
2017-10-01,2086.95,93.99,,,,1.0,0.22,1316.71,60780.95,10.26,4.1,11582.38,17.52,3107.36,6668.95,2331.4
2017-11-01,2124.32,94.8,,,,0.88,5.14,1286.36,59090.91,10.38,4.55,10905.91,16.96,3239.61,6618.05,2511.66
2017-12-01,2127.26,94.04,,,,0.86,3.71,1276.76,60833.33,10.46,4.62,12091.67,16.97,3249.17,6860.5,2469.98
2018-01-01,2046.93,95.54,,,,0.83,3.27,1269.54,68304.55,10.54,4.55,11304.55,16.42,3187.5,6741.5,2489.52
2018-02-01,2194.93,100.69,,,,0.93,3.46,1309.96,76075.0,10.59,5.3,12452.75,16.92,3363.7,7095.83,2552.03
2018-03-01,2199.57,101.86,,,,0.92,4.14,1337.54,80797.62,10.81,5.9,13444.52,16.92,3524.83,7004.4,2602.88
2018-04-01,2132.95,94.75,,,,0.92,4.41,1323.17,83162.5,10.79,6.82,13619.25,16.51,3382.9,6932.35,2452.05
2018-05-01,2150.79,89.53,,,,0.77,4.39,1337.43,92357.14,10.83,7.41,13584.76,16.52,3222.74,6751.79,2372.19
2018-06-01,2301.43,96.61,,,,0.78,4.08,1312.51,90062.5,10.61,6.89,14102.75,16.53,3098.3,6837.1,2325.25
2018-07-01,2275.45,104.65,,,,0.76,3.85,1295.15,86321.43,10.3,5.82,15067.86,16.62,3128.57,6996.69,2452.33
2018-08-01,2136.61,107.83,,,,0.75,3.87,1251.46,74277.27,9.85,5.78,14246.82,15.99,2782.55,6446.39,2312.52
2018-09-01,1699.33,104.81,,,,0.77,3.53,1212.37,65385.71,9.51,5.93,13509.05,15.3,2571.38,6107.4,2102.43
2018-10-01,2040.59,100.89,,,,0.79,3.41,1198.59,63659.09,9.48,5.94,12803.41,14.43,2422.43,5956.98,2040.55
2018-11-01,2053.82,97.9,,,,0.82,3.68,1204.91,59670.91,9.38,5.98,12578.64,14.49,2616.93,6226.2,1998.07
2018-12-01,1956.02,92.51,,,,0.87,3.87,1223.05,54916.67,9.31,5.98,11695.0,14.48,2624.29,6174.14,1950.19
2019-01-01,1939.48,92.41,,,,0.88,4.22,1234.15,55261.36,9.32,5.96,10890.68,14.46,2631.95,6180.77,1948.14
2019-02-01,1854.24,91.8,,,,0.88,4.16,1282.29,45973.68,9.35,5.53,11046.05,15.41,2517.74,5926.24,1965.18
2019-03-01,1856.11,90.57,,,,0.88,4.17,1307.36,33818.18,9.42,5.24,12249.32,15.68,2666.93,6093.59,2053.8
